"","steps","date","interval","day","dayType"
"1",NA,"2012-10-01",0,"segunda","weekday"
"2",NA,"2012-10-01",5,"segunda","weekday"
"3",NA,"2012-10-01",10,"segunda","weekday"
"4",NA,"2012-10-01",15,"segunda","weekday"
"5",NA,"2012-10-01",20,"segunda","weekday"
"6",NA,"2012-10-01",25,"segunda","weekday"
"7",NA,"2012-10-01",30,"segunda","weekday"
"8",NA,"2012-10-01",35,"segunda","weekday"
"9",NA,"2012-10-01",40,"segunda","weekday"
"10",NA,"2012-10-01",45,"segunda","weekday"
"11",NA,"2012-10-01",50,"segunda","weekday"
"12",NA,"2012-10-01",55,"segunda","weekday"
"13",NA,"2012-10-01",100,"segunda","weekday"
"14",NA,"2012-10-01",105,"segunda","weekday"
"15",NA,"2012-10-01",110,"segunda","weekday"
"16",NA,"2012-10-01",115,"segunda","weekday"
"17",NA,"2012-10-01",120,"segunda","weekday"
"18",NA,"2012-10-01",125,"segunda","weekday"
"19",NA,"2012-10-01",130,"segunda","weekday"
"20",NA,"2012-10-01",135,"segunda","weekday"
"21",NA,"2012-10-01",140,"segunda","weekday"
"22",NA,"2012-10-01",145,"segunda","weekday"
"23",NA,"2012-10-01",150,"segunda","weekday"
"24",NA,"2012-10-01",155,"segunda","weekday"
"25",NA,"2012-10-01",200,"segunda","weekday"
"26",NA,"2012-10-01",205,"segunda","weekday"
"27",NA,"2012-10-01",210,"segunda","weekday"
"28",NA,"2012-10-01",215,"segunda","weekday"
"29",NA,"2012-10-01",220,"segunda","weekday"
"30",NA,"2012-10-01",225,"segunda","weekday"
"31",NA,"2012-10-01",230,"segunda","weekday"
"32",NA,"2012-10-01",235,"segunda","weekday"
"33",NA,"2012-10-01",240,"segunda","weekday"
"34",NA,"2012-10-01",245,"segunda","weekday"
"35",NA,"2012-10-01",250,"segunda","weekday"
"36",NA,"2012-10-01",255,"segunda","weekday"
"37",NA,"2012-10-01",300,"segunda","weekday"
"38",NA,"2012-10-01",305,"segunda","weekday"
"39",NA,"2012-10-01",310,"segunda","weekday"
"40",NA,"2012-10-01",315,"segunda","weekday"
"41",NA,"2012-10-01",320,"segunda","weekday"
"42",NA,"2012-10-01",325,"segunda","weekday"
"43",NA,"2012-10-01",330,"segunda","weekday"
"44",NA,"2012-10-01",335,"segunda","weekday"
"45",NA,"2012-10-01",340,"segunda","weekday"
"46",NA,"2012-10-01",345,"segunda","weekday"
"47",NA,"2012-10-01",350,"segunda","weekday"
"48",NA,"2012-10-01",355,"segunda","weekday"
"49",NA,"2012-10-01",400,"segunda","weekday"
